Rank,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,opponent_rank,Time,team_goals,opponent_goals,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent
1.0,24,10,4,59,27,32,82,2.0,0.8740359892678478,1,1,1.88,0.32,0.62,0.38,19.0,6.0,4.0,1.0,2.0,0.0,12.0,3.0,0.87,0.81,1.0,0.0,2.0,2.0,13.0,3.0,13.0,3.0,6.0,3.0,0.0,0.0,38.0,12.0,1.0,0.0,15.0,7.0,0.77,0.48,0.09,0.4,23.0,18.0,7.0,15.0,0.79,0.5,35.0,37.0,2.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24,10,4,59,27,32,82,11.0,0.7197943441029334,1,0,1.44,0.26,0.53,0.47,16.0,5.0,6.0,1.0,2.0,1.0,7.0,4.0,0.87,0.83,1.0,4.0,6.0,2.0,4.0,2.0,13.0,3.0,3.0,2.0,0.0,0.0,29.0,9.0,4.0,1.0,15.0,9.0,0.76,0.62,0.44,0.15,17.0,16.0,9.0,15.0,0.56,0.53,24.0,15.0,8.0,13.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24,10,4,59,27,32,82,5.0,0.9999999994858612,1,1,0.3,0.52,0.49,0.51,5.0,12.0,2.0,2.0,0.0,0.0,3.0,2.0,0.86,0.86,1.0,2.0,2.0,5.0,1.0,5.0,4.0,5.0,1.0,7.0,0.0,1.0,18.0,20.0,2.0,1.0,9.0,13.0,0.7,0.79,0.25,0.15,16.0,19.0,13.0,9.0,0.73,0.67,29.0,16.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24,10,4,59,27,32,82,17.0,0.8740359892678478,1,0,0.58,0.31,0.55,0.45,8.0,9.0,2.0,1.0,1.0,0.0,2.0,5.0,0.89,0.86,0.0,2.0,3.0,6.0,3.0,2.0,6.0,3.0,2.0,6.0,0.0,1.0,16.0,10.0,2.0,2.0,11.0,4.0,0.65,0.76,0.13,0.24,20.0,22.0,4.0,11.0,0.5,0.54,22.0,24.0,10.0,3.0,1.0,1.0,0.41,0.04,0.0,0.0,0.59,0.56,0.28,0.39,35.0,36.0,0.0,1.0,0.04,0.41,0.04,-0.59,0.0,0.0,0.0,0.0
1.0,24,10,4,59,27,32,82,3.0,0.5809768634545106,0,3,0.79,1.3,0.5,0.5,13.0,12.0,3.0,3.0,0.0,0.0,4.0,3.0,0.85,0.84,2.0,2.0,5.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,10.0,0.0,0.0,0.0,0.0,12.0,14.0,10.0,8.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24,10,4,59,27,32,82,6.0,0.8740359892678478,3,0,1.33,1.18,0.52,0.48,10.0,14.0,4.0,2.0,2.0,1.0,2.0,4.0,0.83,0.83,1.0,0.0,6.0,6.0,0.0,6.0,9.0,8.0,1.0,6.0,0.0,0.0,16.0,20.0,2.0,3.0,17.0,15.0,0.7,0.79,0.23,0.27,22.0,12.0,15.0,17.0,0.5,0.71,20.0,13.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24,10,4,59,27,32,82,10.0,0.8894601537843392,3,1,1.93,0.95,0.41,0.59,9.0,11.0,6.0,2.0,0.0,0.0,4.0,1.0,0.84,0.91,1.0,1.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,19.0,16.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24,10,4,59,27,32,82,9.0,0.9999999994858612,1,1,1.15,0.87,0.39,0.61,6.0,12.0,2.0,4.0,1.0,1.0,3.0,8.0,0.72,0.82,3.0,1.0,2.0,6.0,2.0,2.0,2.0,10.0,4.0,2.0,1.0,0.0,14.0,31.0,1.0,0.0,11.0,18.0,0.65,0.69,0.17,0.23,15.0,21.0,18.0,11.0,0.65,0.79,48.0,21.0,11.0,6.0,3.0,1.0,1.59,1.57,0.0,1.0,0.38,0.47,0.23,0.8,57.0,61.0,0.0,0.0,1.57,1.59,0.57,0.59,0.0,0.0,0.0,0.0
1.0,24,10,4,59,27,32,82,7.0,0.9999999994858612,0,1,0.6,0.26,0.57,0.43,12.0,7.0,1.0,3.0,2.0,0.0,6.0,2.0,0.9,0.84,2.0,3.0,5.0,4.0,6.0,0.0,6.0,2.0,6.0,5.0,1.0,1.0,19.0,5.0,1.0,0.0,12.0,16.0,0.79,0.7,0.14,0.2,11.0,18.0,16.0,12.0,0.61,0.25,9.0,17.0,7.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24,10,4,59,27,32,82,12.0,0.9999999994858612,1,1,1.45,0.67,0.62,0.38,18.0,8.0,4.0,4.0,3.0,2.0,6.0,6.0,0.87,0.81,0.0,1.0,4.0,3.0,10.0,1.0,11.0,5.0,7.0,3.0,0.0,0.0,24.0,15.0,1.0,2.0,10.0,11.0,0.72,0.64,0.37,0.33,23.0,11.0,11.0,10.0,0.6,0.46,12.0,25.0,4.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
